,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
7-Sep,80,130,0,50,20,0,45,0,70,0,43,0,0,0,10,35,4,10,25,0,0,10,10,55,7,0
8-Sep,80,125,0,50,20,0,45,0,65,0,43,0,0,0,10,35,4,20,20,0,0,8,8,55,7,0
9-Sep,80,125,0,30,10,0,45,0,60,0,45,0,0,0,8,35,4,23,20,0,0,8,5,57,7,0
10-Sep,80,120,0,30,10,0,45,12,55,0,45,0,0,0,8,30,4,15,20,0,0,6,7,55,7,0
11-Sep,70,120,0,28,10,0,45,8,55,0,38,0,0,0,8,25,4,10,20,0,0,6,10,50,7,0
12-Sep,65,110,0,28,10,0,42,8,45,0,35,0,0,25,30,20,2,8,20,0,0,5,8,50,5,0
13-Sep,60,110,0,28,10,0,40,0,45,0,30,0,0,40,20,20,2,7,20,0,0,5,20,50,4,0
14-Sep,30,100,0,10,10,0,35,0,45,0,25,0,0,35,20,30,2,5,20,0,0,4,33,45,4,0
15-Sep,20,100,0,10,,0,35,0,45,0,20,0,0,25,20,40,1,5,20,0,14,0,32,40,4,0
16-Sep,20,100,0,10,,0,30,0,45,0,30,0,0,27,15,50,1,3,15,0,18,0,20,35,6,0
17-Sep,25,100,0,10,,0,0,0,45,0,30,0,0,,12,40,1,3,15,15,18,0,15,30,6,0
18-Sep,20,100,0,10,,0,0,0,47,0,25,0,0,45,12,35,1,1,15,25,15,0,10,25,6,0
19-Sep,10,100,0,10,,0,0,0,40,0,20,0,0,35,10,30,1,1,15,25,0,0,10,20,5,0
20-Sep,10,90,0,10,,0,0,10,35,0,15,0,0,,10,25,5,1,12,20,0,0,7,20,27,0
21-Sep,10,80,0,10,,0,0,0,35,0,10,0,0,,10,20,5,1,12,15,0,0,10,20,38,0
22-Sep,5,70,0,10,,0,0,0,30,0,10,0,0,,10,12,5,1,12,10,0,0,10,15,35,5
23-Sep,5,60,0,10,,,0,0,28,0,8,0,0,,8,12,5,1,12,5,0,0,8,15,35,0
24-Sep,2,50,0,10,,,0,0,14,,8,0,0,5,6,10,5,0,12,5,0,0,8,10,35,0
25-Sep,1,50,0,10,,,0,0,14,,5,0,0,3,6,10,5,0,12,0,,0,9,10,35,0
26-Sep,1,40,0,10,,,0,0,14,,5,0,0,0,5,10,0,0,10,0,,0,5,10,30,0
27-Sep,1,30,0,10,,,0,0,10,,0,0,0,0,1,15,0,0,10,0,,0,8,10,50,0
28-Sep,patchy,20,0,10,,,0,0,9,,0,0,0,0,1,25,0,0,0,0,,0,7,10,85,0
