,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
25-Aug,80,40,10,45,47,20,57,5,84,21,120,50,20,20,55,40,26,60,55,8,21,60,32,78,63,0
26-Aug,80,44,18,40,40,18,60,0,94,24,118,50,20,18,50,46,26,60,58,5,20,77,15,69,55,0
27-Aug,80,53,18,37,40,16,60,0,105,22,118,50,15,16,45,50,26,60,57,3,20,63,12,73,55,0
28-Aug,80,60,16,52,38,10,63,0,113,10,118,35,15,16,42,50,24,42,55,2,18,63,10,68,55,0
29-Aug,80,63,14,52,35,10,60,0,113,10,118,35,13,16,40,47,20,38,56,2,15,63,8,63,40,0
30-Aug,80,64,12,52,32,8,60,0,109,8,110,35,10,13,38,40,15,35,56,0,14,60,5,63,30,0
31-Aug,80,64,6,50,29,5,70,0,109,6,95,35,10,5,35,47,14,35,56,0,14,60,5,60,28,0
1-Sep,80,64,3,48,29,4,85,0,105,6,98,30,10,3,35,52,13,20,56,0,14,42,5,70,26,0
2-Sep,80,64,0,46,34,4,89,0,100,0,92,30,5,1,32,55,12,15,50,0,14,40,5,68,28,0
3-Sep,80,62,0,46,34,0,89,0,95,0,92,30,5,0,30,60,10,10,50,0,12,35,12,65,20,10
4-Sep,80,61,0,45,34,0,81,0,90,0,92,34,5,0,30,60,5,10,47,0,10,31,11,66,18,15
5-Sep,80,66,0,44,30,0,74,0,55,0,92,34,0,0,30,56,5,9,48,1,10,35,10,87,14,15
6-Sep,70,76,0,42,28,0,64,0,60,3,92,30,0,0,29,50,5,8,48,0,10,28,12,107,8,14
7-Sep,70,80,0,42,26,0,70,0,60,0,92,30,0,0,28,50,5,8,48,0,10,28,13,110,10,14
8-Sep,70,31,0,52,26,0,80,0,60,0,91,30,0,0,25,42,5,3,38,0,3,28,12,107,10,9
9-Sep,67,65,0,52,0,0,75,0,60,0,88,30,6,0,20,38,5,3,36,0,3,21,13,108,9,0
10-Sep,64,97,0,50,0,0,65,13,54,0,90,30,6,0,20,35,5,3,38,0,0,19,14,105,0,5
11-Sep,62,97,0,50,0,0,62,13,58,0,85,25,10,0,18,30,5,3,32,0,0,16,30,100,0,0
12-Sep,60,95,0,50,0,0,57,15,58,0,82,16,8,0,51,28,5,1,42,0,0,12,32,96,0,0
13-Sep,60,84,0,47,0,0,57,15,56,0,80,15,8,38,56,28,4,1,42,0,0,12,35,92,0,0
14-Sep,60,87,0,45,0,0,57,12,52,0,70,14,0,38,45,35,4,1,30,0,0,12,46,86,0,0
15-Sep,60,80,0,43,0,0,57,10,48,0,70,13,0,30,40,52,4,1,28,0,7,10,69,80,0,0
16-Sep,60,75,0,40,0,0,52,9,49,0,55,12,0,34,42,59,4,1,27,0,15,0,71,78,10,0
17-Sep,60,75,0,38,0,0,0,8,53,0,62,15,0,0,38,55,4,1,22,3,15,0,38,70,13,12
18-Sep,60,75,0,37,0,0,0,8,58,0,60,15,0,38,32,45,3,1,20,5,5,0,20,66,13,12
19-Sep,60,74,0,34,0,0,0,0,45,0,58,10,0,40,30,42,2,1,20,5,0,0,18,57,15,0
20-Sep,60,73,0,31,0,0,0,0,44,0,55,10,0,0,27,42,3,1,20,5,0,0,15,48,34,0
21-Sep,50,65,0,28,0,0,0,0,41,0,50,10,0,0,24,42,3,1,20,0,0,0,18,45,45,5
22-Sep,45,53,0,33,0,0,0,0,38,0,40,10,0,0,20,32,2,0,20,0,0,0,30,36,45,6
23-Sep,40,47,0,37,0,0,0,0,35,0,26,10,0,0,16,32,2,0,15,0,0,0,30,36,40,5
24-Sep,40,40,0,35,0,0,0,0,34,0,30,10,0,18,13,22,2,0,15,0,3,0,28,20,37,5
25-Sep,40,30,0,35,0,0,0,0,33,0,25,0,0,0,13,15,2,0,35,0,0,0,20,21,40,0
